POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
100,1283.21,3200.65,3993.69,-3251.16,-28892.5,1464.2,14735.63,-3997.2,97.5,0.0,-7466.28,-3899.7,-11365.99
101,1298.12,3160.39,4022.45,-3276.76,-29066.47,1455.48,14843.67,-3886.86,95.59,0.0,-7563.12,-3791.26,-11354.38
102,1259.54,3203.27,4003.35,-3299.47,-28957.11,1495.11,14844.77,-3995.64,94.51,0.0,-7450.55,-3901.12,-11351.67
103,1319.09,3237.15,4048.37,-3290.12,-28960.38,1453.92,14765.1,-3962.08,94.12,0.0,-7426.87,-3867.96,-11294.84
104,1299.92,3162.96,4008.91,-3288.52,-28927.73,1462.44,14863.14,-4036.97,95.61,0.0,-7418.88,-3941.36,-11360.23
105,1304.82,3196.5,4041.63,-3288.51,-28976.89,1483.93,14835.51,-4002.06,95.58,0.0,-7403.01,-3906.49,-11309.49
106,1276.0,3243.49,4015.98,-3324.67,-28882.88,1457.05,14793.98,-3991.19,95.58,0.0,-7421.05,-3895.6,-11316.65
107,1352.08,3222.64,4024.97,-3313.99,-28950.57,1427.3,14827.32,-4000.22,95.06,0.0,-7410.25,-3905.16,-11315.42
108,1293.34,3121.2,4069.91,-3198.52,-29031.78,1446.7,14835.08,-4031.11,96.65,0.0,-7464.07,-3934.46,-11398.53
109,1298.11,3172.23,4035.25,-3280.73,-29035.41,1450.95,14818.63,-3920.83,95.73,0.0,-7540.97,-3825.1,-11366.08
110,1293.27,3239.06,4003.88,-3247.09,-29047.4,1460.27,14851.85,-4021.92,96.03,0.0,-7446.16,-3925.89,-11372.05
111,1272.28,3195.01,4034.25,-3222.65,-29021.59,1477.07,14842.42,-4032.88,96.4,0.0,-7423.22,-3936.48,-11359.69
112,1315.08,3301.71,3996.52,-3270.49,-28893.14,1460.91,14736.02,-4010.05,95.44,0.0,-7353.4,-3914.62,-11268.01
113,1329.96,3208.79,3989.77,-3256.7,-28965.23,1470.34,14784.02,-3975.06,95.27,0.0,-7439.06,-3879.79,-11318.84
114,1240.73,3234.85,4040.27,-3214.13,-29031.94,1474.76,14760.92,-3946.95,96.45,0.0,-7494.54,-3850.5,-11345.04
115,1297.45,3239.74,3997.13,-3251.76,-28982.29,1464.06,14708.95,-3919.15,96.21,0.0,-7526.71,-3822.94,-11349.65
116,1294.82,3169.45,4021.56,-3272.47,-28955.51,1459.6,14843.14,-4011.63,95.19,0.0,-7439.41,-3916.44,-11355.85
117,1284.81,3256.75,4028.47,-3225.96,-28951.82,1465.25,14821.06,-4051.32,96.4,0.0,-7321.43,-3954.91,-11276.35
118,1295.03,3272.18,4079.48,-3267.07,-29016.14,1471.17,14857.0,-4012.94,96.11,0.0,-7308.35,-3916.83,-11225.18
119,1381.52,3317.15,4042.52,-3259.07,-29040.33,1453.83,14811.82,-3911.41,94.09,0.0,-7292.55,-3817.32,-11109.87
120,1235.71,3195.65,4057.92,-3295.91,-29067.95,1475.9,14932.3,-3946.08,93.6,0.0,-7466.37,-3852.48,-11318.85
121,1234.08,3230.82,4024.43,-3258.94,-29065.81,1468.9,14838.29,-3873.19,95.13,0.0,-7528.24,-3778.06,-11306.3
122,1253.98,3271.15,4040.15,-3240.84,-29153.63,1484.64,14844.24,-3870.25,94.66,0.0,-7500.3,-3775.59,-11275.88
123,1281.45,3220.72,4019.82,-3251.45,-29101.02,1477.86,14772.37,-3884.83,93.84,0.0,-7580.25,-3790.99,-11371.24
124,1290.53,3220.72,3982.48,-3245.93,-29101.78,1453.26,14875.53,-3953.77,95.75,0.0,-7525.19,-3858.02,-11383.21
125,1254.02,3263.14,4003.39,-3262.37,-29064.63,1441.86,14839.36,-3929.1,95.63,0.0,-7525.24,-3833.47,-11358.71
126,1341.74,3215.31,4011.55,-3288.64,-29022.89,1460.26,14802.06,-3909.08,94.58,0.0,-7480.62,-3814.5,-11295.12
127,1233.93,3227.45,4019.68,-3268.28,-29088.71,1484.16,14849.56,-3916.85,93.65,0.0,-7542.21,-3823.19,-11365.4
128,1271.2,3129.45,4009.78,-3252.58,-29281.33,1478.18,14984.66,-3811.49,92.92,0.0,-7660.64,-3718.56,-11379.2
129,1329.44,3320.18,4047.0,-3308.49,-29218.68,1487.45,14878.86,-3808.94,95.1,0.0,-7464.23,-3713.84,-11178.07
130,1237.82,3318.55,4017.85,-3267.81,-29096.36,1469.98,14844.68,-3929.96,96.13,0.0,-7475.29,-3833.83,-11309.11
131,1269.46,3173.12,4049.31,-3320.17,-29132.61,1488.49,14933.0,-3892.36,94.76,0.0,-7539.41,-3797.6,-11337.01
132,1290.93,3210.59,4001.99,-3266.52,-29152.28,1458.61,14880.38,-3898.33,94.96,0.0,-7576.3,-3803.37,-11379.67
133,1316.61,3198.0,4022.92,-3260.48,-29030.73,1438.66,14856.52,-3939.55,94.2,0.0,-7458.5,-3845.35,-11303.84
134,1341.62,3209.98,4013.5,-3271.89,-29003.88,1474.2,14778.62,-3927.8,95.34,0.0,-7457.85,-3832.47,-11290.31
135,1260.58,3181.71,4042.53,-3273.27,-29008.5,1448.61,14912.57,-4004.83,95.59,0.0,-7435.78,-3909.24,-11345.02
136,1301.77,3197.25,4038.33,-3249.48,-29006.57,1465.86,14848.58,-3970.57,95.27,0.0,-7404.27,-3875.3,-11279.57
137,1276.24,3244.38,4009.53,-3294.83,-29039.12,1473.52,14828.24,-3885.26,94.31,0.0,-7502.04,-3790.95,-11293.0
138,1321.16,3191.79,4014.5,-3263.28,-29089.41,1456.45,14789.35,-3863.46,94.59,0.0,-7579.45,-3768.87,-11348.32
139,1331.91,3230.72,4006.91,-3252.01,-29136.78,1474.02,14872.28,-3920.1,95.22,0.0,-7472.93,-3824.89,-11297.82
140,1298.57,3201.14,4057.74,-3293.52,-29001.3,1461.73,14839.95,-3955.76,95.59,0.0,-7435.69,-3860.17,-11295.86
141,1299.85,3252.19,3993.83,-3298.29,-29043.26,1502.38,14839.5,-3947.24,94.42,0.0,-7453.79,-3852.82,-11306.61
142,1293.56,3227.96,4034.2,-3285.57,-29027.13,1456.3,14831.7,-3954.82,94.38,0.0,-7468.97,-3860.45,-11329.42
143,1315.99,3183.43,3995.89,-3248.74,-28957.38,1469.2,14729.51,-3966.19,94.86,0.0,-7512.1,-3871.33,-11383.42
144,1283.76,3255.39,4021.52,-3252.84,-28967.72,1483.69,14807.92,-3996.29,93.96,0.0,-7368.29,-3902.33,-11270.62
145,1312.97,3124.12,3995.45,-3311.41,-29042.08,1466.54,14848.02,-3896.41,94.75,0.0,-7606.4,-3801.66,-11408.06
146,1302.33,3202.42,4032.68,-3267.54,-28898.47,1481.41,14775.63,-4047.44,95.17,0.0,-7371.54,-3952.26,-11323.8
147,1280.31,3247.82,3996.37,-3249.44,-29212.79,1487.69,14834.11,-3839.44,94.64,0.0,-7615.93,-3744.8,-11360.73
148,1265.28,3228.7,3981.4,-3288.05,-29050.06,1477.19,14769.88,-3856.27,94.68,0.0,-7615.67,-3761.59,-11377.26
149,1267.96,3203.29,4068.42,-3281.58,-29088.14,1479.81,14921.31,-3964.57,95.15,0.0,-7428.93,-3869.42,-11298.35
150,1293.57,3252.67,4024.33,-3296.84,-29020.98,1451.87,14780.84,-3860.09,94.76,0.0,-7514.54,-3765.34,-11279.88
151,1280.55,3239.28,4062.89,-3257.29,-29103.83,1466.17,14849.45,-3910.47,95.04,0.0,-7462.78,-3815.43,-11278.21

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,636.58,1581.27,1832.39,-1494.28,-12628.49,644.25,5464.25,-2140.56,50.16,0.0,-3964.02,-2090.4,-6054.42
2,583.76,1550.46,1853.22,-1417.12,-12727.58,656.85,5503.54,-2155.69,51.51,0.0,-3996.87,-2104.18,-6101.05
3,574.97,1490.67,1828.51,-1433.18,-12723.95,663.4,5530.58,-2127.95,50.56,0.0,-4069.01,-2077.4,-6146.4
4,619.94,1564.02,1856.83,-1445.44,-12676.96,671.58,5461.42,-2150.45,50.58,0.0,-3948.61,-2099.87,-6048.48
